"","WorldID","spines","no_spines","extinct","extant","plant_richness","MeanTemp","legthDry","meanBA","continent","country","perc_spines","perc_no_spines"
"703",14005,0,5,1,1,5,20.6035337856183,12,NA,"OC","Australia",0,1
"704",14006,1,5,5,2,6,20.4651361859762,12,0.000285582,"OC","Australia",0.166666666666667,0.833333333333333
"705",14007,1,3,5,3,4,20.4497678169837,12,0.000131372,"OC","Australia",0.25,0.75
"706",14008,1,15,4,3,16,20.2275082054811,12,0.001000478,"OC","Australia",0.0625,0.9375
"707",14009,0,12,4,3,12,19.8592229377001,12,0.000460421,"OC","Australia",0,1
"709",14011,1,15,13,3,16,17.5362019062806,11.7888888888889,0.000969381,"OC","Australia",0.0625,0.9375
"710",14012,0,28,21,3,28,14.4759615257764,9.74444444444444,0.009453535,"OC","Australia",0,1
"711",14013,0,22,20,3,22,16.3401842806584,7.06666666666667,0.018485358,"OC","Australia",0,1
"712",14014,0,10,14,3,10,20.1313061564397,3.74444444444444,0.013110219,"OC","Australia",0,1
"721",14157,3,1,28,0,4,21.2161165126319,8.1,0.00207535,"AM","Argentina",0.75,0.25
"722",14158,9,0,31,0,9,20.7282281983632,7.28888888888889,0.057696601,"AM","Argentina",1,0
"723",14159,3,1,33,1,4,20.5482686780417,6.04444444444444,0.024056278,"AM","Argentina",0.75,0.25
